serverId,channelId,messageId,authorId,createdAt,contentText,label,confidence,info_mentions
944157981791113287,general,m1759092187,u1,2025-09-28T20:43:07.000Z,"?????? https://example.com/plan.pdf",CH,1,""
944157981791113287,general,m1759092439,u1,2025-09-28T20:47:19.000Z,"??????? https://example.com/plan.pdf",CH,1,""
944157981791113287,general,m1759093203,u1,2025-09-28T21:00:03.000Z,"??????? https://example.com/plan.pdf 9/30 13:00",AG|TP|S,0.8,""
944157981791113287,general,m1759101314,u2,2025-09-28T23:15:14.000Z,"??????????????(???)(5-7)",,,""
944157981791113287,general,m1759101315,u3,2025-09-28T23:15:15.000Z,"????????????????????!!",,,""
944157981791113287,general,m1759101316,u2,2025-09-28T23:15:16.000Z,"????(8-6-1)",,,""
944157981791113287,general,m1759101317,u3,2025-09-28T23:15:17.000Z,"?????????????????????",,,""
944157981791113287,general,m1759101318,u2,2025-09-28T23:15:18.000Z,"???????????",,,""
944157981791113287,general,m1759101319,u3,2025-09-28T23:15:19.000Z,"8??????????????????????????????????????????(??????????????)",,,""
944157981791113287,general,m1759101320,u2,2025-09-28T23:15:20.000Z,"??????????????????? ??????????????????????",,,""
944157981791113287,general,m1759101321,u3,2025-09-28T23:15:21.000Z,"?????????????? ????????????????????(1-7?)????????????",,,""
944157981791113287,general,m1759101322,u1,2025-09-28T23:15:22.000Z,"??????????1-6???3????????????",,,""
944157981791113287,general,m1759101323,u1,2025-09-28T23:15:23.000Z,"???1610???????????????? ??????",,,""
944157981791113287,general,m1759101324,u1,2025-09-28T23:15:24.000Z,"???????????????? 1978??????? https://www.jstage.jst.go.jp/article/jspeconf/29/0/29_316/_article/-char/ja/",,,""
944157981791113287,general,m1759101325,u2,2025-09-28T23:15:25.000Z,"????????? https://example.com/plan.pdf",,,""
944157981791113287,general,m1759101326,u3,2025-09-28T23:15:26.000Z,"?????7????????????????",,,""
944157981791113287,general,m1759101327,u3,2025-09-28T23:15:27.000Z,"????????gpt????????????????",,,""
944157981791113287,general,m1759101328,u3,2025-09-28T23:15:28.000Z,"?????????????? ?? ??9/20 ???? ???????DM???????(????????????)",,,""
944157981791113287,general,m1759101329,u4,2025-09-28T23:15:29.000Z,"??1? ????5?6 ???2?4 ???8?10 ????9?1?2 ???5?7?3??????",,,""
944157981791113287,general,m1759101330,u4,2025-09-28T23:15:30.000Z,"??1?????w ?????????????????",,,""
