message_id,created_at,server_id,channel_id,author_id,label,confidence,text
m1758885706,2025-09-26T11:21:46.000Z,944157981791113287,general,u1,AG,1,賛成！来週9/30 13:00にやろう https://example.com
m1758886382,2025-09-26T11:33:02.000Z,944157981791113287,general,u1,AG,1,賛成！来週9/30 13:00にやろう https://example.com
m1758892446,2025-09-26T13:14:06.000Z,944157981791113287,general,u1,AG,1,賛成！来週9/30 13:00にやろう https://example.com
m1758893807,2025-09-26T13:36:47.000Z,944157981791113287,general,u2,Q,1,なぜこの案が良い？具体例ある？
m1758894157,2025-09-26T13:42:37.000Z,944157981791113287,general,u3,S,1,この案に反対。理由はコストが高いから。
m1758894352,2025-09-26T13:45:52.000Z,944157981791113287,general,u4,S,1,資料はこちら→ https://example.com/plan.pdf
m1758895191,2025-09-26T13:59:51.000Z,944157981791113287,general,u9,CH,1,リンク共有します→ https://example.com
m1758895555,2025-09-26T14:05:55.000Z,944157981791113287,general,u9,CH,1,リンク共有します→ https://example.com
m1758895858,2025-09-26T14:10:58.000Z,944157981791113287,general,u9,CH,1,リンク共有します→ https://example.com
m1758896979,2025-09-26T14:29:39.000Z,944157981791113287,general,u9,S,1,資料アップしました https://example.com/plan.pdf
b001,2025-09-26T15:11:17.995Z,testserver,testset,u_test,Q,0.8,以下を正しくできるか谷崎鷹人(谷やん)(5-7)
b002,2025-09-26T15:11:17.996Z,testserver,testset,u_test,CH,0.85,たぶんなむさんと同じ顔
b003,2025-09-26T15:11:17.997Z,testserver,testset,u_test,CH,1,こんなイケメンやったらもう少しモテたはず！！
b004,2025-09-26T15:11:17.998Z,testserver,testset,u_test,CH,0.8,でも顔の骨格とか似てるかも
b005,2025-09-26T15:11:17.999Z,testserver,testset,u_test,CH,0.95,たぬかな(8-6-1)
b006,2025-09-26T15:11:18.000Z,testserver,testset,u_test,CH,0.85,たぶんpowaさんと同じ顔
b007,2025-09-26T15:11:18.001Z,testserver,testset,u_test,EM,0.9,たぬかな可愛すぎるしこんなギャルではない笑
b008,2025-09-26T15:11:18.002Z,testserver,testset,u_test,TP,0.9,二人とも同じ謙遜しとる
b009,2025-09-26T15:11:18.003Z,testserver,testset,u_test,Q,0.75,8種の女の笑い方って全力っていうか歯出して目めっちゃ空いてるか閉じてるかのイメージある(普段わりとムスッとしてるのに)
b010,2025-09-26T15:11:18.004Z,testserver,testset,u_test,CH,1,ニチャァを隠そうとするとそうなるのかな 弱者の話聞く時は仏スマイルに擬態するみたいに
b011,2025-09-26T15:11:18.005Z,testserver,testset,u_test,CH,0.95,しぐらさんなんなんだろうね笑 ンゴちゃんのイメージずっとあるんだけど笑(1-7？)天啓降りてきたらまた言う
b012,2025-09-26T15:11:18.006Z,testserver,testset,u_test,CH,1,( ´ー`)。о（書いてあるけどまあええか)
b013,2025-09-26T15:11:18.007Z,testserver,testset,u_test,CH,1,似てるキャラ！！！ちゃんとしぐらさんの体癖は把握してるから！！😭
b014,2025-09-26T15:11:18.008Z,testserver,testset,u_test,CH,1,ひろゆきと渋谷ハルが1-6だけど3つ目もとなると難しいねえ
b015,2025-09-26T15:11:18.009Z,testserver,testset,u_test,S,1,確かに1610の組合せて自分も見たことないかも 探してみるか
b016,2025-09-26T15:11:18.010Z,testserver,testset,u_test,CH,1,探してたら全然関係ないものだけど 1978年のものらしい https://www.jstage.jst.go.jp/article/jspeconf/29/0/29_316/_article/-char/ja/
b017,2025-09-26T15:11:18.011Z,testserver,testset,u_test,CH,1,ほ〜…結構偏りある🤔
b018,2025-09-26T15:11:18.012Z,testserver,testset,u_test,CH,1,上下前後（特に15）は男性多いイメージ、左右開閉は女性多そう。1610が見つからない。組み合わさりやすいのとにくいのがあるかも
b019,2025-09-26T15:11:18.013Z,testserver,testset,u_test,TP,0.8,1-6-10って結構壮大になりそうな感じもあるよね キング牧師とか？
b020,2025-09-26T15:11:18.014Z,testserver,testset,u_test,CH,1,10のわかりやすい特徴って面倒見るものがあると元気出るくらいしかないよな 論文だされてるんだね
b021,2025-09-26T15:11:18.015Z,testserver,testset,u_test,CH,1,キングって名前も顔も１０っぽいなｗ
b022,2025-09-26T15:11:18.016Z,testserver,testset,u_test,CH,0.9,まあ性格との関連とか言い出さなければまともなデータだものね
b023,2025-09-26T15:11:18.017Z,testserver,testset,u_test,Q,0.8,キング牧師7が少し入ってて前後が全くないかな
b024,2025-09-26T15:11:18.018Z,testserver,testset,u_test,Q,0.8,もの食べる時大体gptに栄養素とカロリーのコスパ聞く笑
b025,2025-09-26T15:11:18.019Z,testserver,testset,u_test,EM,1,見事に量と栄養価だわ笑
b026,2025-09-26T15:11:18.020Z,testserver,testset,u_test,EM,1,なむさんやっぱ7-5種感あるね〜😎
b027,2025-09-26T15:11:18.021Z,testserver,testset,u_test,S,1,powa の投票「食事で気になるのは？」が終了しました。栄養価が45%で勝利
b028,2025-09-26T15:11:18.022Z,testserver,testset,u_test,Q,1,体癖診断モデル募集のお知らせ。日時9/20 場所赤羽。興味がある人はDMか質問ください（金銭は発生しません）
b029,2025-09-26T15:11:18.023Z,testserver,testset,u_test,S,1,世界陸上見てたら結構斜め走りしてる人多くてびっくりした 特にマクロフリンねじれつよい https://youtu.be/AbUgBCuAuR0
b030,2025-09-26T15:11:18.024Z,testserver,testset,u_test,S,0.9,競歩1種 棒高跳び5、6 走高跳2、4 投てき8、10 中長距離9、1、2 短距離5、7、3ってイメージ
b031,2025-09-26T15:11:18.025Z,testserver,testset,u_test,CH,0.9,はえぇよく見てる
b032,2025-09-26T15:11:18.026Z,testserver,testset,u_test,CH,0.85,斜めに走ってるのに早いのやばい
b033,2025-09-26T15:11:18.027Z,testserver,testset,u_test,CH,1,競歩1なの同感やw 斜めの方がはやいんやろな知らんけど
b034,2025-09-26T15:11:18.028Z,testserver,testset,u_test,CH,1,よくあのクネクネで長時間競技出来るよねw
b035,2025-09-26T15:11:18.029Z,testserver,testset,u_test,CH,0.85,それなw1種なら簡単やなw
