serverId,channelId,messageId,authorId,createdAt,contentText,label,confidence,info_mentions
944157981791113287,general,m1759197751,u1,2025-09-30T02:02:31.000Z,"??????? https://example.com/plan.pdf 9/30 13:00",TP,0.8,""
944157981791113287,general,m1759197796,u1,2025-09-30T02:03:16.000Z,"??????? https://example.com/plan.pdf 9/30 13:00",TP,0.8,""
944157981791113287,general,m1759204156,u1,2025-09-30T03:49:16.314Z,"??????? https://example.com/plan.pdf 9/30 13:00",TP,0.8,""
944157981791113287,general,m24cb0200,u1,2025-09-30T04:26:03.605Z,"??????? https://example.com/plan.pdf 9/30 13:00",CH,0.8,""
944157981791113287,general,m23161b7c,u1,2025-09-30T04:27:30.063Z,"??!?????????",CH,0.95,""
944157981791113287,general,m9069e76d,u1,2025-09-30T04:27:43.919Z,"???????????",BOT,0.95,""
944157981791113287,general,m82b8a570,u1,2025-09-30T04:27:58.074Z,"[system] nightly job finished",CH,0.95,""
944157981791113287,general,m9b346f76,u1,2025-09-30T04:28:12.698Z,"???10/5 10:00??????",CH,0.9,""
944157981791113287,general,m0e39aee1,u1,2025-09-30T04:36:17.059Z,"??!?????????",CH,0.95,""
944157981791113287,general,m362842d0,u1,2025-09-30T04:36:19.326Z,"???????????",BOT,0.95,""
944157981791113287,general,m350e46da,u1,2025-09-30T04:36:19.871Z,"[system] nightly job finished",CH,0.95,""
944157981791113287,general,m403237c4,u1,2025-09-30T04:36:20.359Z,"???10/5 10:00??????",CH,0.9,""
944157981791113287,general,m1a163b66,u1,2025-09-30T04:36:52.958Z,"???10/5 10:00??????",CH,0.9,""
944157981791113287,general,m302b1d9f,u1,2025-09-30T05:37:12.119Z,"???10/5 10:00??????",CH,0.9,""
944157981791113287,general,mb494632d,u1,2025-09-30T05:41:51.020Z,"???10/5 10:00??????",CH,0.9,""
