serverId,channelId,messageId,authorId,authorIsBot,createdAt,label,confidence,rationale,contentText
"944157981791113287","general","m65fe7830","u1","false","2025-10-01T15:17:52.202Z","Q","0.85","疑問符が複数あり、理解を確認する意図があるため。","???????????????"
"944157981791113287","general","md5e58828","u1","false","2025-10-01T16:26:48.678Z","Q","0.95","疑問符が連続しており、理解を確認する意図があるため。","???????????????"
"944157981791113287","general","m06ffb11f","u1","false","2025-10-01T16:37:28.790Z","Q","0.9","不明点の確認を目的とする問いとして該当。","???????????????"
"944157981791113287","general","mc2d04088","u1","false","2025-10-02T03:06:17.837Z","BOT","0.95","この発言は文字がなく、システムによる誤りか、意図的な無回答と推測されます。","???????????????"
"944157981791113287","general","mb0b42632","u1","false","2025-10-02T03:12:40.498Z","EM","0.9","この発言は感情的表現で、驚きや不安な感情を表しています。","斜めに走ってるのに早いのやばい"
"944157981791113287","general","me39907e7","u1","false","2025-10-02T03:17:58.953Z","Q","0.8","この発言は質問の形式ではなく、意見を述べているため「Q」ラベルが適切です。","https://youtu.be/uU_FfWvKlVo?si=UGElEd_FYP9HIyMh 日本の7種ってこんな感じやない 平子さんも7種ぽい 今時嫌われるだろうけど笑"
"944157981791113287","general","md923334b","u1","false","2025-10-02T03:19:25.446Z","CH","0.9","この発言は文化的な話題について質問しているため、チャット内容に該当します。","今更国宝見てきたんだけど 歌舞伎て何種の文化なんだろう ちゃんと見たことないから分からんけど7種なんかしら"
"944157981791113287","general","m4dec1224","u1","false","2025-10-02T03:41:14.821Z","S","0.8","この文は会話的な表現で、状況を描写しています。","斜めに走ってるのに早いのやばい"
"944157981791113287","general","m6bb2d766","u1","false","2025-10-02T03:41:50.253Z","S","0.8","この文は会話的な表現で、状況を描写しています。","斜めに走ってるのに早いのやばい"
"944157981791113287","general","m86abde96","u1","false","2025-10-02T03:42:20.988Z","S","0.8","この文は会話的な表現で、状況を描写しています。","斜めに走ってるのに早いのやばい"
"944157981791113287","general","m7405029c","u1","false","2025-10-02T03:56:12.253Z","S","0.8","この文は会話的な表現で、状況を描写しています。","斜めに走ってるのに早いのやばい"
"944157981791113287","general","m7429cf17","u1","false","2025-10-02T03:58:28.694Z","BOT","0.8","この発言はコードの一部であり、チャットでの会話内容（CH）を示しています。また、これはユーザーが実行する可能性のある自動化された操作（BOT）を含んでいます。","Invoke-BatchAnalyzeFromTextBlock -sid $SID -block (Get-Clipboard -Raw) -Force | Format-Table -AutoSize"
"944157981791113287","general","m2df4fb8d","u1","false","2025-10-02T03:58:48.632Z","S","0.8","この文は会話的な表現で、状況を描写しています。","斜めに走ってるのに早いのやばい"
"944157981791113287","general","m5f69ec19","u1","false","2025-10-02T03:58:49.230Z","S","0.9","SIDは一連の数字で構成されており、情報識別子（Information Identifier）として機能する可能性があります。","$SID=""944157981791113287"""
"944157981791113287","general","m17e85b10","u1","false","2025-10-02T03:58:49.666Z","Q","0.8","","# 単文"
"944157981791113287","general","m3e39e591","u1","false","2025-10-02T03:58:50.253Z","Q","0.8","この発言はチャット内容（CH）であり、質問（Q）にも該当しますが、文脈から明確な質問とは受け取れません。","Analyze-TextObj -sid $SID -text ""斜めに走ってるのに早いのやばい"""
"944157981791113287","general","mb212079a","u1","false","2025-10-02T03:58:51.136Z","BOT","0.9","この発言はチャット Historic な内容ではなく、システム操作の指示に該当します。また、これはユーザーから入力された内容ではなく、システム（ BOT ）が生成した内容であるため、BOTラベルも適切です。","# クリップボード一括（改行付きOK）"
"944157981791113287","general","mda2c3fba","u1","false","2025-10-02T03:58:51.793Z","BOT","0.8","この発言はコードの一部であり、チャットでの会話内容やBotによる応答を示唆しています。","Invoke-BatchAnalyzeFromTextBlock -sid $SID -block (Get-Clipboard -Raw) -Force | Format-Table -AutoSize"
"944157981791113287","general","m43ba457a","u1","false","2025-10-02T04:02:24.900Z","S","0.8","この文は会話的な表現で、状況を描写しています。","斜めに走ってるのに早いのやばい"
"944157981791113287","general","mad8f3f58","u1","false","2025-10-02T04:03:19.175Z","S","0.8","この文は会話的な表現で、状況を描写しています。","斜めに走ってるのに早いのやばい"
"944157981791113287","general","mf5887a0a","u1","false","2025-10-02T04:03:29.331Z","BOT","0.8","この発言はコードのような形式で書かれており、チャットでの会話文ではなく自動生成またはプログラムの一部に見えます。","ban -sid $SID -block (Get-Clipboard -Raw) -Force | Format-Table -Wrap -AutoSize"
"944157981791113287","general","mf7c7e1db","u1","false","2025-10-02T04:07:53.945Z","S","0.8","この文は会話的な表現で、状況を描写しています。","斜めに走ってるのに早いのやばい"
"944157981791113287","general","me901c3d5","u1","false","2025-10-02T04:08:02.471Z","BOT","0.8","この発言はコードのように見えて、人間の自然な会話とは異なる形式で記述されています。また、自動生成または実行される可能性のあるコマンドライン指令に見えます。","ban -sid $SID -block (Get-Clipboard -Raw) -Force | Format-Table -Wrap -AutoSize"
